category_1,category_2,category_3,crime_type,ucr_code
Violent,Homicide,Murder,MURDER,100
Violent,Homicide,Murder,CRASH/MURDER,100
Violent,Homicide,Murder,CAPITAL MURDER,101
Violent,Homicide,Murder,EXPIRED-ATT MURDER,400
Violent,Homicide,Murder,EXPIRED-ATT CAPITAL MURDER,401
Violent,Homicide,Manslaughter,CRASH/MANSLAUGHTER,102
Violent,Homicide,Manslaughter,MANSLAUGHTER,102
Violent,Homicide,Manslaughter,CRIM NEG HOMICIDE/NON TRAFFIC,103
Violent,Homicide,Manslaughter,CRASH/NEGLIGENT HOMICIDE,106
Violent,Homicide,Manslaughter,CRASH/INTOX MANSLAUGHTER,108
Violent,Rape,Rape,RAPE,200
Violent,Rape,Rape,EXPIRED-ATT RAPE,201
Violent,Rape,Rape,FORCED SODOMY,1716
Violent,Rape,Rape,EXPIRED-ATT FORCED SODOMY,1717
Violent,Rape,Rape,AGG FORCED SODOMY,1718
Violent,Rape,Rape,AGG SODOMY,1719
Violent,Rape,Rape,AGG RAPE OF A CHILD,206
Violent,Rape,Rape,FORCED SODOMY OF CHILD,1720
Violent,Rape,Rape,AGG FORCED SODOMY OF CHILD,1722
Violent,Rape,Rape,EXPIRED-ATTAGGFORCESODOMYCHILD,1723
Violent,Rape,Rape,AGG RAPE,202
Violent,Robbery,Robbery,AGG ROBBERY/DEADLY WEAPON,300
Violent,Robbery,Robbery,EXPIRED-ATT AGG ROBBERY/WEAP,301
Violent,Robbery,Robbery,AGG ROBBERY BY ASSAULT,302
Violent,Robbery,Robbery,ROBBERY BY ASSAULT,303
Violent,Robbery,Robbery,EXPIRED-ATT ROBBERY BY ASSAULT,304
Violent,Robbery,Robbery,ROBBERY BY THREAT,305
Violent,Assault,Aggravated Assault,AGG ASSAULT,402
Violent,Assault,Aggravated Assault,AGG ASSAULT FAM/DATE VIOLENCE,402
Violent,Assault,Aggravated Assault,AGG ASSAULT ON PUBLIC SERVANT,403
Violent,Assault,Aggravated Assault,AGG ASSAULT ON PEACE OFFICER,403
Violent,Assault,Aggravated Assault,EXPIRED - DEADLY ASSAULT,404
Violent,Assault,Aggravated Assault,SERIOUS INJURY TO A CHILD,405
Violent,Assault,Aggravated Assault,AGG ASSAULT WITH MOTOR VEH,406
Violent,Assault,Aggravated Assault,AGG ASLT W/MOTOR VEH FAM/DAT V,406
Violent,Assault,Aggravated Assault,ARSON WITH BODILY INJURY,407
Violent,Assault,Aggravated Assault,DEADLY CONDUCT,408
Violent,Assault,Aggravated Assault,DEADLY CONDUCT FAM/DATE VIOL,408
Violent,Assault,Aggravated Assault,TAKE WEAPON FRM POLICE OFFICER,409
Violent,Assault,Aggravated Assault,EXPIRED-ATT/TAKE WEAP FROM OFF,409
Violent,Assault,Aggravated Assault,AGG ASLT STRANGLE/SUFFOCATE,410
Violent,Assault,Aggravated Assault,AGG ASLT ENHANC STRANGL/SUFFOC,411
Violent,Assault,Aggravated Assault,ASSAULT WITH INJURY,900
Violent,Assault,Aggravated Assault,ASSAULT W/INJURY-FAM/DATE VIOL,900
Violent,Assault,Aggravated Assault,ASSAULT BY THREAT,901
Violent,Assault,Aggravated Assault,ASSAULT BY THREAT FAM/DATING,901
Violent,Assault,Aggravated Assault,ASSAULT BY CONTACT FAM/DATING,902
Violent,Assault,Aggravated Assault,ASSAULT BY CONTACT,902
Violent,Assault,Aggravated Assault,ASSAULT CONTACT-SEXUAL NATURE,902
Violent,Assault,Aggravated Assault,ASSAULT ON PEACE OFFICER,903
Violent,Assault,Aggravated Assault,ASSAULT ON PUBLIC SERVANT,903
Violent,Assault,Aggravated Assault,RECKLESS CONDUCT,904
Violent,Assault,Aggravated Assault,RESISTING ARREST OR SEARCH,905
Violent,Assault,Aggravated Assault,ASSAULT - SCHOOL PERSONNEL,906
Violent,Assault,Aggravated Assault,TAMPERING WITH CONSUMER PROD,907
Violent,Assault,Aggravated Assault,FELONY ENHANCEMENT/ASSLT W/INJ,909
Violent,Assault,Aggravated Assault,IMPROPER CONTACT-SEX ASLT VICT,910
Violent,Assault,Aggravated Assault,ASSAULT OF A PREGNANT WOMAN,911
Violent,Assault,Aggravated Assault,ASSAULT OF PREGNANT WM-FAM/DAT,911
Violent,Assault,Simple Assault,AGG KIDNAPPING FAM VIO,2801
Violent,Assault,Simple Assault,AGG KIDNAPPING,2801
Violent,Assault,Simple Assault,EXPIRED-ATT AGG KIDNAPPING,2803
Violent,Assault,Simple Assault,HARASSMENT,2703
Property,Burglary,Residential Burglary,BURGLARY OF RESIDENCE,500
Property,Burglary,Residential Burglary,BURG OF RES - FAM/DATING ASLT,500
Property,Burglary,Residential Burglary,BURG OF RES - SEXUAL NATURE,500
Property,Burglary,Residential Burglary,ATT BURGLARY OF RESIDENCE,501
Property,Burglary,Non-Residential Burglary,BURGLARY NON RESIDENCE,502
Property,Burglary,Non-Residential Burglary,ATT BURGLARY NON RESIDENCE,503
Property,Burglary,Non-Residential Burglary,BURG NON RESIDENCE SHEDS,504
Property,Theft,Grand Larceny Auto,BURGLARY OF VEHICLE,601
Property,Theft,Grand Larceny Auto,BURGLARY OF VEH-NO SUSPECT/FU,601
Property,Theft,Grand Larceny Auto,AUTO THEFT,700
Property,Theft,Grand Larceny Auto,ATT AUTO THEFT,701
Property,Theft,Theft from Auto,THEFT FROM AUTO,603
Property,Theft,Theft from Auto,THEFT OF AUTO PARTS,604
Property,Theft,Unclassified,THEFT,600
Property,Theft,Unclassified,BURGLARY OF COIN-OP MACHINE,602
Property,Theft,Unclassified,POCKET PICKING,605
Property,Theft,Unclassified,PURSE SNATCHING,606
Property,Theft,Unclassified,THEFT BY SHOPLIFTING,607
Property,Theft,Unclassified,THEFT OF SERVICE,608
Property,Theft,Unclassified,THEFT OF BICYCLE,609
Property,Theft,Unclassified,THEFT FROM PERSON,610
Property,Theft,Unclassified,ATT THEFT,611
