category_1,category_2,category_3,OFFENSE_DESCRIPTION
Violent,Homicide,Murder,"MURDER, NON-NEGLIGIENT MANSLAUGHTER"
Violent,Homicide,Manslaughter,MANSLAUGHTER - NON-VEHICLE - NEGLIGENCE
Violent,Homicide,Manslaughter,MANSLAUGHTER - VEHICLE - NEGLIGENCE
Violent,Rape,Rape,SEX OFFENSE - RAPE - FORCIBLE
Violent,Rape,Rape,SEX OFFENSE - RAPE - SODOMY
Violent,Robbery,Robbery,ROBBERY
Violent,Robbery,Robbery,ROBBERY - BANK
Violent,Robbery,Robbery,ROBBERY - CAR JACKING
Violent,Robbery,Robbery,ROBBERY - COMMERCIAL
Violent,Robbery,Robbery,ROBBERY - HOME INVASION
Violent,Robbery,Robbery,ROBBERY - KNIFE - STREET
Violent,Robbery,Robbery,ROBBERY - OTHER
Violent,Robbery,Robbery,ROBBERY - STREET
Violent,Robbery,Robbery,ROBBERY - UNARMED - BUSINESS
Violent,Robbery,Robbery,ROBBERY - UNARMED - CHAIN STORE
Violent,Robbery,Robbery,ROBBERY - UNARMED - RESIDENCE
Violent,Robbery,Robbery,ROBBERY - UNARMED - STREET
Violent,Robbery,Robbery,ROBBERY ATTEMPT - KNIFE - BANK
Violent,Assault,Aggravated Assault,ASSAULT - AGGRAVATED
Violent,Assault,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY
Violent,Assault,Aggravated Assault,ASSAULT & BATTERY D/W - KNIFE
Violent,Assault,Aggravated Assault,ASSAULT & BATTERY D/W - OTHER
Violent,Assault,Aggravated Assault,ASSAULT & BATTERY D/W - OTHER ON POLICE OFFICER
Violent,Assault,Aggravated Assault,ASSAULT D/W - KNIFE ON POLICE OFFICER
Violent,Assault,Aggravated Assault,ASSAULT D/W - OTHER
Violent,Assault,Simple Assault,ASSAULT - SIMPLE
Violent,Assault,Simple Assault,ASSAULT SIMPLE - BATTERY
Violent,Assault,Unclassified,ASSAULT & BATTERY
Property,Burglary,Residential Burglary,BURGLARY - RESIDENTIAL
Property,Burglary,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT
Property,Burglary,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE
Property,Burglary,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE
Property,Burglary,Non-Residential Burglary,BURGLARY - COMMERICAL
Property,Burglary,Non-Residential Burglary,BURGLARY - COMMERICAL - ATTEMPT
Property,Burglary,Non-Residential Burglary,BURGLARY - COMMERICAL - FORCE
Property,Burglary,Non-Residential Burglary,BURGLARY - COMMERICAL - NO FORCE
Property,Burglary,Unclassified,BURGLARY - OTHER - ATTEMPT
Property,Burglary,Unclassified,BURGLARY - OTHER - FORCE
Property,Burglary,Unclassified,BURGLARY - OTHER - NO FORCE
Property,Theft,Grand Larceny Auto,AUTO THEFT
Property,Theft,Grand Larceny Auto,AUTO THEFT - LEASED/RENTED VEHICLE
Property,Theft,Grand Larceny Auto,AUTO THEFT - MOTORCYCLE / SCOOTER
Property,Theft,Grand Larceny Auto,AUTO THEFT - OUTSIDE - RECOVERED IN BOSTON
Property,Theft,Grand Larceny Auto,AUTO THEFT - RECOVERED IN BY POLICE
Property,Theft,Grand Larceny Auto,AUTO THEFT LEASE/RENT VEHICLE
Property,Theft,Grand Larceny Auto,AUTO THEFT OTHER
Property,Theft,Theft from Auto,BREAKING AND ENTERING (B&E) MOTOR VEHICLE
Property,Theft,Theft from Auto,BREAKING AND ENTERING (B&E) MOTOR VEHICLE (NO PROPERTY STOLEN)
Property,Theft,Theft from Auto,LARCENY NON-ACCESSORY FROM VEH. $50 TO $199
Property,Theft,Theft from Auto,LARCENY NON-ACCESSORY FROM VEH. UNDER $50
Property,Theft,Theft from Auto,LARCENY THEFT OF MV PARTS & ACCESSORIES
Property,Theft,Grand Larceny,LARCENY NON-ACCESSORY FROM VEH. $200 & OVER
Property,Theft,Grand Larceny,LARCENY BICYCLE $200 & OVER
Property,Theft,Grand Larceny,LARCENY IN A BUILDING $200 & OVER
Property,Theft,Grand Larceny,LARCENY OTHER $200 & OVER
Property,Theft,Grand Larceny,LARCENY SHOPLIFTING $200 & OVER
Property,Theft,Other Theft,LARCENY ALL OTHERS
Property,Theft,Other Theft,LARCENY IN A BUILDING $50 TO $199
Property,Theft,Other Theft,LARCENY IN A BUILDING UNDER $50
Property,Theft,Other Theft,LARCENY OTHER $50 TO $199
Property,Theft,Other Theft,LARCENY OTHER UNDER $50
Property,Theft,Other Theft,LARCENY PICK-POCKET
Property,Theft,Other Theft,LARCENY PURSE SNATCH - NO FORCE
Property,Theft,Other Theft,LARCENY PURSE SNATCH - NO FORCE
Property,Theft,Other Theft,LARCENY SHOPLIFTING
