category_1,category_2,category_3,iucr
Violent,Homicide,Murder,0110
Violent,Homicide,Manslaughter,0141
Violent,Homicide,Manslaughter,0142
Violent,Rape,Rape,0261
Violent,Rape,Rape,0261
Violent,Rape,Rape,0262
Violent,Rape,Rape,0263
Violent,Rape,Rape,0263
Violent,Rape,Rape,0264
Violent,Rape,Rape,0265
Violent,Robbery,Robbery,0312
Violent,Robbery,Robbery,0313
Violent,Robbery,Robbery,0320
Violent,Robbery,Robbery,0320
Violent,Robbery,Robbery,0325
Violent,Robbery,Robbery,0326
Violent,Robbery,Robbery,0330
Violent,Robbery,Robbery,0331
Violent,Robbery,Robbery,0334
Violent,Robbery,Robbery,0337
Violent,Robbery,Robbery,0340
Violent,Robbery,Robbery,031A
Violent,Robbery,Robbery,031B
Violent,Robbery,Robbery,033A
Violent,Robbery,Robbery,033B
Violent,Assault,Aggravated Assault,0420
Violent,Assault,Aggravated Assault,0430
Violent,Assault,Aggravated Assault,0440
Violent,Assault,Aggravated Assault,0450
Violent,Assault,Aggravated Assault,0451
Violent,Assault,Aggravated Assault,0452
Violent,Assault,Aggravated Assault,0453
Violent,Assault,Aggravated Assault,0454
Violent,Assault,Aggravated Assault,0460
Violent,Assault,Aggravated Assault,0461
Violent,Assault,Aggravated Assault,0462
Violent,Assault,Aggravated Assault,041A
Violent,Assault,Aggravated Assault,041B
Violent,Assault,Aggravated Assault,051A
Violent,Assault,Aggravated Assault,051B
Violent,Assault,Aggravated Assault,0475
Violent,Assault,Aggravated Assault,0479
Violent,Assault,Aggravated Assault,0480
Violent,Assault,Aggravated Assault,0482
Violent,Assault,Aggravated Assault,0483
Violent,Assault,Aggravated Assault,0484
Violent,Assault,Aggravated Assault,0485
Violent,Assault,Aggravated Assault,0486
Violent,Assault,Aggravated Assault,0487
Violent,Assault,Aggravated Assault,0488
Violent,Assault,Aggravated Assault,0489
Violent,Assault,Aggravated Assault,0495
Violent,Assault,Aggravated Assault,0496
Violent,Assault,Aggravated Assault,0497
Violent,Assault,Aggravated Assault,0498
Violent,Assault,Aggravated Assault,0498
Violent,Assault,Aggravated Assault,0520
Violent,Assault,Aggravated Assault,0530
Violent,Assault,Aggravated Assault,0545
Violent,Assault,Aggravated Assault,0550
Violent,Assault,Aggravated Assault,0551
Violent,Assault,Aggravated Assault,0552
Violent,Assault,Aggravated Assault,0553
Violent,Assault,Aggravated Assault,0554
Violent,Assault,Aggravated Assault,0555
Violent,Assault,Aggravated Assault,0556
Violent,Assault,Aggravated Assault,0557
Violent,Assault,Aggravated Assault,0558
Violent,Assault,Simple Assault,0560
Property,Burglary,Unclassified,0610
Property,Burglary,Unclassified,0620
