category_1,category_2,category_3,ucr_group,offense
Violent,Homicide,Murder,HOMICIDE,MURDER
Violent,Homicide,Murder,HOMICIDE,AGGRAVATED MURDER - FELONY
Violent,Homicide,Murder,HOMICIDE,AGGRAVATED MURDER
Violent,Homicide,Murder,HOMICIDE,AGGRAVATED MURDER - PREMEDITATED
Violent,Homicide,Manslaughter,HOMICIDE,INVOL MANSLAUGHTER - RESULT OF MISDEMEANOR
Violent,Homicide,Manslaughter,HOMICIDE,INVOLUNTARY MANSLAUGHTER
Violent,Homicide,Manslaughter,HOMICIDE,NEGLIGENT HOMICIDE
Violent,Homicide,Manslaughter,HOMICIDE,RECKLESS HOMICIDE
Violent,Homicide,Manslaughter,HOMICIDE,VOLUNTARY MANSLAUGHTER
Violent,Homicide,Manslaughter,HOMICIDE,AGG VEH HOM/VEH HOM/VEH MNSLGHTER
Violent,Rape,Rape,RAPE,RAPE
Violent,Rape,Rape,RAPE,"RAPE - FORCE, THREAT OF"
Violent,Rape,Rape,RAPE,RAPE - SUBSTANTIALLY IMPAIR JUDGMENT
Violent,Rape,Rape,RAPE,RAPE - VICTIM MENTAL OR PHYSICAL DISABILITY
Violent,Rape,Rape,RAPE,SEXUAL ASSAULT WITH AN OBJECT
Violent,Robbery,Robbery,ROBBERY,"AGG ROBBERY - ARMED, DEADLY ORDNANCE"
Violent,Robbery,Robbery,ROBBERY,"AGG ROBBERY - ARMED, DEADLY WEAPON"
Violent,Robbery,Robbery,ROBBERY,AGG ROBBERY - INFLICT/ATTEMPT SERIOUS HARM
Violent,Robbery,Robbery,ROBBERY,AGGRAVATED ROBBERY
Violent,Robbery,Robbery,ROBBERY,ROBBERY
Violent,Robbery,Robbery,ROBBERY,"ROBBERY - DANGEROUS WEAPON, ORDNANCE"
Violent,Robbery,Robbery,ROBBERY,ROBBERY - USE/THREATEN IMMED USE OF FORCE
Violent,Robbery,Robbery,ROBBERY,ROBBERY-INFLICT/ATTEMPT/THREAT SER PHYS HARM
Violent,Assault,Aggravated Assault,AGGRAVATED ASSAULTS,AGGRAVATED ASSAULT
Violent,Assault,Aggravated Assault,AGGRAVATED ASSAULTS,AGGRAVATED ASSAULT - WEAPON OR ORDNANCE
Violent,Assault,Aggravated Assault,AGGRAVATED ASSAULTS,AGGRAVATED VEHICULAR ASSAULT
