category_1,category_2,category_3,ucr_offense,nibrs_crime,nibrs_crime_category
Violent,Homicide,Murder,MURDER,MURDER & NONNEGLIGENT MANSLAUGHTER,HOMICIDE OFFENSES
Violent,Homicide,Murder,,MURDER & NONNEGLIGENT MANSLAUGHTER,HOMICIDE OFFENSES
Violent,Rape,Rape,,SEXUAL ASSAULT WITH AN OBJECT,"SEX OFFENSES, FORCIBLE"
Violent,Homicide,Manslaughter,,NEGLIGENT MANSLAUGHTER,HOMICIDE OFFENSES
Violent,Robbery,Robbery,ROBBERY-INDIVIDUAL,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING
Violent,Robbery,Robbery,ROBBERY-INDIVIDUAL,ROBBERY-INDIVIDUAL,ROBBERY
Violent,Robbery,Robbery,ROBBERY-BUSINESS,ROBBERY-BUSINESS,ROBBERY
Violent,Robbery,Robbery,,ROBBERY-INDIVIDUAL,ROBBERY
Violent,Robbery,Robbery,ROBBERY-INDIVIDUAL,,
Violent,Robbery,Robbery,,ROBBERY-BUSINESS,ROBBERY
Violent,Assault,Aggravated Assault,AGG ASSAULT - NFV,AGG ASSAULT - NFV,ASSAULT OFFENSES
Violent,Assault,Aggravated Assault,AGG ASSAULT - NFV,,
Violent,Assault,Aggravated Assault,AGG ASSAULT - NFV,WEAPON LAW VIOLATIONS,WEAPON LAW VIOLATIONS
Violent,Assault,Aggravated Assault,AGG ASSAULT - FV,AGG ASSAULT - FV,ASSAULT OFFENSES
Violent,Assault,Aggravated Assault,,AGG ASSAULT - NFV,ASSAULT OFFENSES
Violent,Assault,Aggravated Assault,,AGG ASSAULT - FV,ASSAULT OFFENSES
Violent,Assault,Aggravated Assault,ASSAULT,AGG ASSAULT - NFV,ASSAULT OFFENSES
Violent,Assault,Aggravated Assault,AGG ASSAULT - NFV,KIDNAPPING/ ABDUCTION,KIDNAPPING/ ABDUCTION
Violent,Assault,Simple Assault,ASSAULT,SIMPLE ASSAULT,ASSAULT OFFENSES
Violent,Assault,Simple Assault,ASSAULT,INTIMIDATION,ASSAULT OFFENSES
Violent,Assault,Simple Assault,ASSAULT,DUI,DRIVING UNDER THE INFLUENCE
Violent,Assault,Simple Assault,ASSAULT,,
Violent,Assault,Simple Assault,TERRORISTIC THREAT,ALL OTHER OFFENSES,ALL OTHER OFFENSES
Violent,Assault,Simple Assault,TERRORISTIC THREAT,INTIMIDATION,ASSAULT OFFENSES
Violent,Assault,Simple Assault,,INTIMIDATION,ASSAULT OFFENSES
Violent,Assault,Simple Assault,,SIMPLE ASSAULT,ASSAULT OFFENSES
Violent,Assault,Simple Assault,,,
Property,Burglary,Residential Burglary,AGG ASSAULT - NFV,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING
Property,Burglary,Residential Burglary,BURGLARY-RESIDENCE,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING
Property,Burglary,Residential Burglary,BURGLARY-RESIDENCE,,
Property,Burglary,Residential Burglary,,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING
Property,Burglary,Non-Residential Burglary,BURGLARY-BUSINESS,BURGLARY-BUSINESS,BURGLARY/ BREAKING & ENTERING
Property,Burglary,Non-Residential Burglary,,BURGLARY-BUSINESS,BURGLARY/ BREAKING & ENTERING
Property,Theft,Grand Larceny Auto,UUMV,UUMV,MOTOR VEHICLE THEFT
Property,Theft,Grand Larceny Auto,UUMV,,
Property,Theft,Grand Larceny Auto,THEFT/BMV,UUMV,MOTOR VEHICLE THEFT
Property,Theft,Grand Larceny Auto,,UUMV,MOTOR VEHICLE THEFT
Property,Theft,Theft from Auto,THEFT/BMV,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES
Property,Theft,Theft from Auto,,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES
Property,Theft,Theft from Auto,THEFT/BMV,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES
Property,Theft,Theft from Auto,THEFT/BMV,,
Property,Theft,Theft from Auto,,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES
Property,Theft,Other Theft,,PURSE-SNATCHING,LARCENY/ THEFT OFFENSES
Property,Theft,Other Theft,,POCKET-PICKING,LARCENY/ THEFT OFFENSES
Property,Theft,Other Theft,OTHER THEFTS,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES
Property,Theft,Other Theft,OTHER THEFTS,POCKET-PICKING,LARCENY/ THEFT OFFENSES
Property,Theft,Other Theft,OTHER THEFTS,PURSE-SNATCHING,LARCENY/ THEFT OFFENSES
Property,Theft,Other Theft,THEFT/SHOPLIFT,SHOPLIFTING,LARCENY/ THEFT OFFENSES
Property,Theft,Other Theft,THEFT/SHOPLIFT,,
Property,Theft,Other Theft,THEFT/SHOPLIFT,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES
Property,Theft,Other Theft,OTHER THEFTS,THEFT OF COIN-OPERATED MACHINE OR DEVICE,LARCENY/ THEFT OFFENSES
Property,Theft,Other Theft,OTHER THEFTS,,
Property,Theft,Other Theft,,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES
Property,Theft,Other Theft,,SHOPLIFTING,LARCENY/ THEFT OFFENSES
Property,Theft,Other Theft,,THEFT OF COIN-OPERATED MACHINE OR DEVICE,LARCENY/ THEFT OFFENSES
Property,Theft,Other Theft,,THEFT OF BUILDING,LARCENY/ THEFT OFFENSES
Property,Theft,Other Theft,,STOLEN PROPERTY OFFENSES,STOLEN PROPERTY OFFENSES
Property,Arson,Arson,ARSON,ARSON,ARSON
Property,Arson,Arson,ARSON,,
Property,Arson,Arson,,ARSON,ARSON
Property,Other Property Crime,Other Property Crime,VANDALISM & CRIM MISCHIEF,ALL OTHER OFFENSES,ALL OTHER OFFENSES
Property,Other Property Crime,Other Property Crime,VANDALISM & CRIM MISCHIEF,,
Property,Other Property Crime,Other Property Crime,THEFT ORG RETAIL,STOLEN PROPERTY OFFENSES,STOLEN PROPERTY OFFENSES
Property,Other Property Crime,Other Property Crime,,TRESPASS OF REAL PROPERTY,TRESPASS OF REAL PROPERTY
Property,Other Property Crime,Other Property Crime,ASSAULT,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY
Property,Other Property Crime,Other Property Crime,,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY
Property,Other Property Crime,Other Property Crime,CRIMINAL TRESPASS,TRESPASS OF REAL PROPERTY,TRESPASS OF REAL PROPERTY
Property,Other Property Crime,Other Property Crime,VANDALISM & CRIM MISCHIEF,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY
Drug,Drug,Drug,NARCOTICS & DRUGS,DRUG/ NARCOTIC VIOLATIONS,DRUG/ NARCOTIC VIOLATIONS
Drug,Drug,Drug,NARCOTICS & DRUGS,DRUG EQUIPMENT VIOLATIONS,DRUG/ NARCOTIC VIOLATIONS
Drug,Drug,Drug,OTHERS,DRUG/ NARCOTIC VIOLATIONS,DRUG/ NARCOTIC VIOLATIONS
Drug,Drug,Drug,,DRUG/ NARCOTIC VIOLATIONS,DRUG/ NARCOTIC VIOLATIONS
Drug,Drug,Drug,,DRUG EQUIPMENT VIOLATIONS,DRUG/ NARCOTIC VIOLATIONS
Property,White Collar,Counterfeiting,NARCOTICS & DRUGS,COUNTERFEITING / FORGERY,COUNTERFEITING / FORGERY
Property,White Collar,Counterfeiting,FORGE & COUNTERFEIT,COUNTERFEITING / FORGERY,COUNTERFEITING / FORGERY
Property,White Collar,Counterfeiting,FORGERY & COUNTERFEITING,COUNTERFEITING / FORGERY,COUNTERFEITING / FORGERY
Property,White Collar,Counterfeiting,FORGE & COUNTERFEIT,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES
Property,White Collar,Counterfeiting,FORGE & COUNTERFEIT,,
Property,White Collar,Counterfeiting,,COUNTERFEITING / FORGERY,COUNTERFEITING / FORGERY
Property,White Collar,Fraud,FRAUD,FALSE PRETENSES/ SWINDLE/ CONFIDENCE GAME,FRAUD OFFENSES
Property,White Collar,Fraud,FRAUD,IMPERSONATION,FRAUD OFFENSES
Property,White Collar,Fraud,FRAUD,CREDIT CARD/ ATM FRAUD,FRAUD OFFENSES
Property,White Collar,Fraud,FRAUD,COUNTERFEITING / FORGERY,COUNTERFEITING / FORGERY
Property,White Collar,Fraud,FRAUD,WIRE FRAUD,FRAUD OFFENSES
Property,White Collar,Fraud,FRAUD,,
Property,White Collar,Fraud,FRAUD,ALL OTHER OFFENSES,ALL OTHER OFFENSES
Property,White Collar,Fraud,FRAUD,IDENTITY THEFT,FRAUD OFFENSES
Property,White Collar,Fraud,OTHERS,IMPERSONATION,FRAUD OFFENSES
Property,White Collar,Fraud,NARCOTICS & DRUGS,FALSE PRETENSES/ SWINDLE/ CONFIDENCE GAME,FRAUD OFFENSES
Property,White Collar,Fraud,,IMPERSONATION,FRAUD OFFENSES
Property,White Collar,Fraud,,CREDIT CARD/ ATM FRAUD,FRAUD OFFENSES
Property,White Collar,Fraud,,FALSE PRETENSES/ SWINDLE/ CONFIDENCE GAME,FRAUD OFFENSES
Property,White Collar,Fraud,,IDENTITY THEFT,FRAUD OFFENSES
Property,White Collar,Fraud,,HACKING/COMPUTER INVASION,FRAUD OFFENSES
Property,White Collar,Fraud,,WIRE FRAUD,FRAUD OFFENSES
Property,White Collar,Fraud,OTHERS,FALSE PRETENSES/ SWINDLE/ CONFIDENCE GAME,FRAUD OFFENSES
Property,White Collar,Counterfeiting,OTHERS,COUNTERFEITING / FORGERY,COUNTERFEITING / FORGERY
Property,White Collar,Embezzlement,EMBEZZLEMENT,EMBEZZELMENT,EMBEZZELMENT
Property,White Collar,Embezzlement,EMBEZZLEMENT,,
Property,White Collar,Embezzlement,,EMBEZZELMENT,EMBEZZELMENT
Gambling,Gambling,Gambling,,OPERATING/ PROMOTING/ ASSISTING GAMBLING,GAMBLING OFFENSES
