category_1,category_2,category_3,offense_type_id
Drug,Drug,Drug,drug-hallucinogen-mfr
Drug,Drug,Drug,drug-hallucinogen-sell
Drug,Drug,Drug,drug-hallucinogen-possess
Drug,Drug,Drug,drug-heroin-sell
Drug,Drug,Drug,drug-heroin-possess
Drug,Drug,Drug,drug-opium-or-deriv-sell
Drug,Drug,Drug,drug-opium-or-deriv-possess
Drug,Drug,Drug,drug-cocaine-sell
Drug,Drug,Drug,drug-cocaine-possess
Drug,Drug,Drug,drug-synth-narcotic-sell
Drug,Drug,Drug,drug-synth-narcotic-possess
Drug,Drug,Drug,drug-poss-paraphernalia
Drug,Drug,Drug,drug-marijuana-sell
Drug,Drug,Drug,drug-marijuana-possess
Drug,Drug,Drug,drug-marijuana-cultivation
Drug,Drug,Drug,drug-methamphetamine-mfr
Drug,Drug,Drug,drug-methampetamine-sell
Drug,Drug,Drug,drug-methampetamine-possess
Drug,Drug,Drug,drug-barbiturate-sell
Drug,Drug,Drug,drug-barbiturate-possess
Drug,Drug,Drug,drug-pcs-other-drug
Drug,Drug,Drug,drug-make-sell-other-drug
Drug,Drug,Drug,liquor-sell
Drug,Drug,Drug,liquor-possession
Property,White Collar,Fraud,money-laundering
Property,Other Property Crime,Other Property Crime,property-crimes-other
Violent,Homicide,Murder,homicide-family
Violent,Homicide,Murder,homicide-police-by-gun
Violent,Homicide,Murder,homicide-other
Violent,Rape,Rape,sex-aslt-rape
Violent,Rape,Rape,sex-aslt-rape-pot
Violent,Rape,Rape,sex-asslt-sodomy-man-strng-arm
Violent,Rape,Rape,sex-aslt-w-object
Violent,Rape,Rape,sex-aslt-w-object-pot
Violent,Robbery,Robbery,robbery-street
Violent,Robbery,Robbery,robbery-purse-snatch-w-force
Violent,Robbery,Robbery,robbery-bank
Violent,Robbery,Robbery,robbery-car-jacking
Violent,Assault,Aggravated Assault,aslt-agg-police-gun
Violent,Assault,Aggravated Assault,agg-aslt-police-weapon
Violent,Assault,Simple Assault,assault-simple
Violent,Assault,Simple Assault,assault-dv
Violent,Assault,Simple Assault,assault-police-simple
Violent,Assault,Aggravated Assault,weapon-fire-into-occ-veh
Violent,Assault,Aggravated Assault,weapon-fire-into-occ-bldg
Violent,Assault,Aggravated Assault,aggravated-assault
Violent,Assault,Aggravated Assault,aggravated-assault-dv
Violent,Assault,Aggravated Assault,menacing-felony-w-weap
Property,Arson,Arson,arson-business
Property,Arson,Arson,arson-residence
Property,Arson,Arson,arson-other
Property,Arson,Arson,arson-public-building
Property,Arson,Arson,arson-vehicle
Property,Burglary,Unclassified,burglary-safe
Property,Burglary,Residential Burglary,burglary-residence-by-force
Property,Burglary,Unclassified,burg-auto-theft-resd-w-force
Property,Burglary,Non-Residential Burglary,burglary-business-by-force
Property,Burglary,Unclassified,burg-auto-theft-busn-w-force
Property,Burglary,Residential Burglary,burglary-residence-no-force
Property,Burglary,Unclassified,burg-auto-theft-resd-no-force
Property,Burglary,Non-Residential Burglary,burglary-business-no-force
Property,Burglary,Unclassified,burg-auto-theft-busn-no-force
Property,Burglary,Unclassified,burglary-poss-of-tools
Property,Theft,Unclassified,theft-pick-pocket
Property,Theft,Unclassified,theft-purse-snatch-no-force
Property,Theft,Unclassified,theft-shoplift
Property,Theft,Theft from Auto,theft-parts-from-vehicle
Property,Theft,Theft from Auto,theft-items-from-vehicle
Property,Theft,Unclassified,burglary-vending-machine
Property,Theft,Unclassified,theft-from-bldg
Property,Theft,Unclassified,theft-from-mails
Property,Theft,Unclassified,theft-other
Property,Theft,Unclassified,theft-bicycle
Property,Theft,Unclassified,theft-gas-drive-off
Property,Theft,Unclassified,theft-of-cable-services
Property,Theft,Grand Larceny Auto,theft-stln-veh-const-eqpt
Property,Theft,Grand Larceny Auto,theft-stln-vehicle-trailer
Property,Theft,Grand Larceny Auto,theft-of-motor-vehicle
Property,White Collar,Fraud,forgery-checks
Property,White Collar,Counterfeiting,forgery-counterfeit-of-obj
Property,White Collar,Fraud,forgery-poss-of-forged-inst
Property,White Collar,Fraud,forgery-poss-of-forged-ftd
Property,White Collar,Fraud,forgery-posses-forge-device
Property,White Collar,Fraud,forgery-other
Property,White Collar,Fraud,drug-forgery-to-obtain
Property,White Collar,Fraud,theft-confidence-game
Property,White Collar,Fraud,theft-of-rental-property
Property,White Collar,Fraud,theft-fail-return-rent-veh
Property,White Collar,Fraud,fraud-identity-theft
Property,White Collar,Fraud,fraud-criminal-impersonation
Property,White Collar,Fraud,impersonation-of-police
Property,White Collar,Fraud,theft-unauth-use-of-ftd
Property,White Collar,Fraud,fraud-nsf-closed-account
Property,White Collar,Fraud,fraud-by-telephone
Property,White Collar,Fraud,fraud-by-use-of-computer
Property,Theft,Unclassified,theft-of-services
Drug,Drug,Drug,drug-fraud-to-obtain
Property,White Collar,Embezzlement,theft-embezzle
Property,White Collar,Fraud,altering-vin-number
Drug,Drug,Drug,liquor-manufacturing
Violent,Homicide,Murder,homicide-negligent
