category_1,category_2,category_3,offense_description
Violent,Homicide,Murder,HOMICIDE
Violent,Homicide,Murder,HOMICIDE- CRIMINAL
Violent,Homicide,Murder,HOMICIDE- CRIMINALLY NEGLIGENT
Violent,Robbery,Robbery,ROBBERY
Violent,Robbery,Robbery,Robbery - Acting in Concert
Violent,Robbery,Robbery,ROBBERY- AGG.- SERIOUS BODILY INJURY
Violent,Robbery,Robbery,ROBBERY- ESP. AGG.
Violent,Robbery,Robbery,"ROBBERY, AGGRAVATED, HANDGUN"
Violent,Robbery,Robbery,"ROBBERY, AGGRAVATED, KNIFE"
Violent,Robbery,Robbery,"ROBBERY, AGGRAVATED, LONG GUN"
Violent,Robbery,Robbery,"ROBBERY, AGGRAVATED, OTHER"
Violent,Assault,Aggravated Assault,AGGRAV ASSLT - FAMILY-GUN
Violent,Assault,Aggravated Assault,AGGRAV ASSLT - FAMILY-STGARM
Violent,Assault,Aggravated Assault,AGGRAV ASSLT - FAMILY-WEAPON
Violent,Assault,Aggravated Assault,AGGRAV ASSLT - GUN
Violent,Assault,Aggravated Assault,AGGRAV ASSLT - NONFAMILY-GUN
Violent,Assault,Aggravated Assault,AGGRAV ASSLT - NONFAMILY-STGARM
Violent,Assault,Aggravated Assault,AGGRAV ASSLT - NONFAMILY-WEAPON
Violent,Assault,Aggravated Assault,AGGRAV ASSLT - POL OFF-GUN
Violent,Assault,Aggravated Assault,AGGRAV ASSLT - POL OFF-STGARM
Violent,Assault,Aggravated Assault,AGGRAV ASSLT - POL OFF-WEAPON
Violent,Assault,Aggravated Assault,AGGRAV ASSLT - PUB OFF-GUN
Violent,Assault,Aggravated Assault,AGGRAV ASSLT - PUB OFF-WEAPON
Violent,Assault,Aggravated Assault,ASSAULT OFFICER - AGG - DEADLY WEAPON - INT/KN
Violent,Assault,Aggravated Assault,"Assault, 1st Responder Agg - Serious Injury - Int/Kn"
Violent,Assault,Aggravated Assault,"Assault, Agg - Deadly Weapon- Int/Kn- Acting in Concert"
Violent,Assault,Aggravated Assault,"Assault, Agg - Serious Bodily Injury- Int/Kn- Acting in Concert"
Violent,Assault,Aggravated Assault,"Assault, Agg - Strangulation- Int/Kn- Acting in Concert"
Violent,Assault,Aggravated Assault,"ASSAULT, AGG DEADLY WEAPON- INT/KN"
Violent,Assault,Aggravated Assault,"Assault, Aggravated - Deadly Weapon - Int/Kn"
Violent,Assault,Aggravated Assault,"Assault, Aggravated - Deadly Weapon - Int/Kn - In Concert"
Violent,Assault,Aggravated Assault,"Assault, Aggravated - Deadly Weapon - Reckless"
Violent,Assault,Aggravated Assault,"Assault, Aggravated - Death - Int/Kn"
Violent,Assault,Aggravated Assault,"Assault, Aggravated - Death - Reckless"
Violent,Assault,Aggravated Assault,"Assault, Aggravated - Serious Bodily Injury - Reckless"
Violent,Assault,Aggravated Assault,"Assault, Aggravated - Strangulation - Int/Kn"
Violent,Assault,Aggravated Assault,"Assault, Aggravated - Strangulation - Int/Kn - In Concert"
Violent,Assault,Aggravated Assault,"ASSAULT, AGGRAVATED - STRANGULATION-INT/KN"
Violent,Assault,Aggravated Assault,"Assault, Officer Agg - Serious Injury- Int/Kn- Acting in Concert"
Violent,Assault,Aggravated Assault,"Assault, Officer Agg - Weapon- Int/Kn- Acting in Concert"
Violent,Assault,Aggravated Assault,"Assault, Officer/Responder - Agg - Serious Injury - Reckless"
Violent,Assault,Aggravated Assault,"Assault, Officer/Responder -Agg -Deadly Weapon - Int/Kn"
Violent,Assault,Aggravated Assault,"Assault, Officer/Responder -Agg -Deadly Weapon - Reckless"
Violent,Assault,Aggravated Assault,"ASSAULT, VEHICULAR, AGGRAVATED"
Violent,Assault,Aggravated Assault,INTENTIONAL AGGRAVATED ASSAULT
Violent,Assault,Simple Assault,"ASSAULT, DOMESTIC, BODILY INJURY 2ND OFFENSE"
Violent,Assault,Simple Assault,"ASSAULT, DOMESTIC, BODILY INJURY 3RD OR MORE"
Violent,Assault,Simple Assault,"ASSAULT, DOMESTIC, BODILY INJURY 3RD OR MORE - ENHANCED"
Violent,Assault,Simple Assault,SIMPLE ASSLT
Violent,Assault,Simple Assault,SIMPLE ASSLT - STRANGULATION (NO LOSS OF CONSCIOUSNESS)
Violent,Assault,Unclassified,ASSAULT
Violent,Assault,Unclassified,ASSAULT- FEAR OF BODILY INJURY
Violent,Assault,Unclassified,ASSAULT OF OFFICER - BODILY INJURY
Violent,Assault,Unclassified,ASSAULT- OFFENSIVE OR PROVOCATIVE CONTACT
Violent,Assault,Unclassified,"ASSAULT, (NO INJURY, ON OFFICER/PUBLIC OFFICIAL)"
Violent,Assault,Unclassified,"Assault, health care provider - Bodily Injury"
Violent,Assault,Unclassified,"Assault, health care provider - Fear of Bodily Injury"
Violent,Assault,Unclassified,"Assault, health care provider - Offensive Contact"
Violent,Assault,Unclassified,"ASSAULT, VEHICULAR"
Violent,Assault,Unclassified,"ASSAULT, VEHICULAR - 1ST OFFENSE"
Property,Burglary,Unclassified,BURGL - BANKING-TYPE INST
Property,Burglary,Unclassified,BURGL - FORCED ENTRY-NONRESID
Property,Burglary,Unclassified,BURGL - NO FORCED ENTRY-NONRESID
Property,Burglary,Unclassified,BURGL - SAFE-VAULT
Property,Burglary,Unclassified,BURGLARY
Property,Burglary,Unclassified,Burglary - Aggravated - Acting in Concert
Property,Burglary,Unclassified,BURGLARY (NON HABITATION)
Property,Burglary,Unclassified,BURGLARY- AGGRAVATED
Property,Burglary,Unclassified,BURGLARY- MOTOR VEHICLE
Property,Burglary,Unclassified,"BURGLARY, CRIMINAL ATTEMPT"
Property,Theft,Grand Larceny Auto,"Theft of Vehicle- $250,000 or more"
Property,Theft,Grand Larceny Auto,"Theft of Vehicle- $60,000 or > but < $250,000"
Property,Theft,Grand Larceny Auto,"THEFT OF VEHICLE->$1,000 BUT <$2,500"
Property,Theft,Grand Larceny Auto,"THEFT OF VEHICLE-2,500 OR > BUT<$10,000"
Property,Theft,Grand Larceny Auto,VEHICLE THEFT
Property,Theft,Theft from Auto,LARC - FROM AUTO
Property,Theft,Unclassified,LARC - BICYCLE
Property,Theft,Unclassified,LARC - FROM BANKING TYPE-INST
Property,Theft,Unclassified,LARC - FROM BLDG
Property,Theft,Unclassified,LARC - FROM COIN MACHINE
Property,Theft,Unclassified,LARC - FROM YARDS
Property,Theft,Unclassified,LARC - PARTS FROM VEH
Property,Theft,Unclassified,LARC - POSTAL
Property,Theft,Unclassified,LARC - RESID
Property,Theft,Unclassified,LARCENY - (FREE TEXT)
Property,Theft,Unclassified,SHOPLIFTING
Property,Theft,Unclassified,"Telecommunications Theft- $250,000 or more"
Property,Theft,Unclassified,THEFT OF MERCHANDISE - $500 OR LESS
Property,Theft,Unclassified,"THEFT OF MERCHANDISE- $1,000 OR LESS"
Property,Theft,Unclassified,"THEFT OF MERCHANDISE 5TH - $1,000 OR LESS"
Property,Theft,Unclassified,"THEFT OF MERCHANDISE 5TH - $10,000 OR > BUT < $60,000"
Property,Theft,Unclassified,"THEFT OF MERCHANDISE 5TH - $2,500 OR > BUT < $10,000"
Property,Theft,Unclassified,"THEFT OF MERCHANDISE 5TH - $60,000 OR > BUT < $250,000"
Property,Theft,Unclassified,"THEFT OF MERCHANDISE 5TH - > $1,000 BUT < $2,500"
Property,Theft,Unclassified,"THEFT OF PROPERTY- $1,000 OR > BUT < $10,000"
Property,Theft,Unclassified,"THEFT OF PROPERTY- $10,000 OR > BUT < $60,000"
Property,Theft,Unclassified,"Theft of Property- $250,000 or more"
Property,Theft,Unclassified,THEFT OF PROPERTY- $500 OR LESS
Property,Theft,Unclassified,"Theft of Property- $60,000 or > but < $250,000"
Property,Theft,Unclassified,"THEFT OF PROPERTY- $60,000 OR MORE"
Property,Theft,Unclassified,"THEFT OF PROPERTY- > $500 BUT < $1,000"
Property,Theft,Unclassified,"THEFT OF PROPERTY-$1,000 OR LESS"
Property,Theft,Unclassified,"THEFT OF PROPERTY-$2,500 OR > BUT < $10,000"
Property,Theft,Unclassified,THEFT OF SERVICES- $500 OR LESS
Property,Theft,Unclassified,"THEFT OF SERVICES- $1,000 OR > BUT < $10,000"
Property,Theft,Unclassified,"THEFT OF SERVICES- $10,000 OR > BUT < $60,000"
Property,Theft,Unclassified,THEFT OF SERVICES (LESS THAN $50 OR NO VAL DETERMINED)
Property,Theft,Unclassified,"THEFT OF SERVICES- > $500 BUT < $1,000"
Property,Theft,Unclassified,"THEFT OF SERVICES-$1,000 OR LESS"
Property,Theft,Unclassified,"THEFT OF SERVICES, CRIMINAL ATTEMPT"
Property,Arson,Arson,ARSON
Property,Arson,Arson,ARSON - BUSINESS
Property,Arson,Arson,ARSON - PUB-BLDG
Property,Arson,Arson,ARSON - RESID
Property,Other Property Crime,Other Property Crime,STOLEN PROPERTY
Property,Other Property Crime,Other Property Crime,TRESPASS BY MOTOR VEHICLE
Property,Other Property Crime,Other Property Crime,CRIMINAL TRESPASS
Property,Other Property Crime,Other Property Crime,CRIMINAL TRESPASS- AGGRAVATED
Property,Other Property Crime,Other Property Crime,CRIMINAL TRESPASS- AGGRAVATED - HOME/SCHOOL
Property,Other Property Crime,Other Property Crime,RECEIVE STOLEN PROP
Property,Other Property Crime,Other Property Crime,"RECOVERY, STOLEN PROPERTY"
Property,Other Property Crime,Other Property Crime,"CRITICAL INFRASTRUCTURE VANDALISM - $1,000 OR LESS"
Property,Other Property Crime,Other Property Crime,"CRITICAL INFRASTRUCTURE VANDALISM - $10,000 OR > BUT < $60,000"
Property,Other Property Crime,Other Property Crime,"CRITICAL INFRASTRUCTURE VANDALISM - $2,500 OR > BUT < $10,000"
Property,Other Property Crime,Other Property Crime,"CRITICAL INFRASTRUCTURE VANDALISM - $250,000 OR MORE"
Property,Other Property Crime,Other Property Crime,"CRITICAL INFRASTRUCTURE VANDALISM - > $1,000 BUT < $2,500"
Property,Other Property Crime,Other Property Crime,DAMAGE PROP - BUSINESS
Property,Other Property Crime,Other Property Crime,DAMAGE PROP - PRIVATE
Property,Other Property Crime,Other Property Crime,DAMAGE PROP - PUBLIC
Property,Other Property Crime,Other Property Crime,DAMAGE PROPERTY
Property,Other Property Crime,Other Property Crime,"DAMAGE TO PROPERTY, CRIMINAL ATTEMPT"
Property,Other Property Crime,Other Property Crime,"VANDALISM- $1,000 OR > BUT < $10,000"
Property,Other Property Crime,Other Property Crime,"VANDALISM- $1,000 OR LESS"
Property,Other Property Crime,Other Property Crime,"VANDALISM- $2,500 OR > BUT < $10,000"
Property,Other Property Crime,Other Property Crime,"Vandalism- $250,000 or more"
Property,Other Property Crime,Other Property Crime,"Vandalism- $60,000 or > but < $250,000"
Property,Other Property Crime,Other Property Crime,"VANDALISM- > $500 BUT < $1,000"
Property,Other Property Crime,Other Property Crime,"VANDALISM- >$1,000 BUT < $2,500"
