category_1,category_2,category_3,ofns_desc,law_cat_cd,pd_desc
Violent,Homicide,Murder,MURDER & NON-NEGL. MANSLAUGHTER,FELONY,
Violent,Homicide,Manslaughter,HOMICIDE-NEGLIGENT-VEHICLE,FELONY,"HOMICIDE, NEGLIGENT, VEHICLE,"
Violent,Homicide,Manslaughter,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",FELONY,"HOMICIDE,NEGLIGENT,UNCLASSIFIE"
Violent,Rape,Rape,RAPE,FELONY,RAPE 1
Violent,Rape,Rape,RAPE,FELONY,"RAPE 1,ATTEMPT"
Violent,Rape,Rape,RAPE,FELONY,RAPE 2
Violent,Rape,Rape,RAPE,FELONY,RAPE 3
Violent,Rape,Rape,SEX CRIMES,FELONY,SODOMY 1
Violent,Rape,Rape,SEX CRIMES,FELONY,SODOMY 2
Violent,Rape,Rape,SEX CRIMES,FELONY,SODOMY 3
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY, CHAIN STORE"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY, PAYROLL"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,ATM LOCATION"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,BANK"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,BAR/RESTAURANT"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,BEGIN AS SHOPLIFTING"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,BICYCLE"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,BODEGA/CONVENIENCE STORE"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,CAR JACKING"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,CHECK CASHING BUSINESS"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,CLOTHING"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,COMMERCIAL UNCLASSIFIED"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,DELIVERY PERSON"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,DOCTOR/DENTIST OFFICE"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,DWELLING"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,GAS STATION"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,HIJACKING"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,HOME INVASION"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,LICENSED FOR HIRE VEHICLE"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,LICENSED MEDALLION CAB"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,LIQUOR STORE"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,NECKCHAIN/JEWELRY"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,OF TRUCK DRIVER"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,ON BUS/ OR BUS DRIVER"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,OPEN AREA UNCLASSIFIED"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,PERSONAL ELECTRONIC DEVICE"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,PHARMACY"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,POCKETBOOK/CARRIED BAG"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,PUBLIC PLACE INSIDE"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,RESIDENTIAL COMMON AREA"
Violent,Robbery,Robbery,ROBBERY,FELONY,"ROBBERY,UNLICENSED FOR HIRE VEHICLE"
Violent,Assault,Aggravated Assault,FELONY ASSAULT,FELONY,"ASSAULT 2,1,UNCLASSIFIED"
Violent,Assault,Aggravated Assault,FELONY ASSAULT,FELONY,ASSAULT OTHER PUBLIC SERVICE EMPLOYEE
Violent,Assault,Aggravated Assault,FELONY ASSAULT,FELONY,ASSAULT POLICE/PEACE OFFICER
Violent,Assault,Aggravated Assault,FELONY ASSAULT,FELONY,ASSAULT SCHOOL SAFETY AGENT
Violent,Assault,Aggravated Assault,FELONY ASSAULT,FELONY,ASSAULT TRAFFIC AGENT
Violent,Assault,Aggravated Assault,FELONY ASSAULT,FELONY,STRANGULATION 1ST
Violent,Assault,Simple Assault,MISCELLANEOUS PENAL LAW,FELONY,AGGRAVATED HARASSMENT 1
Violent,Assault,Simple Assault,HARRASSMENT 2,VIOLATION,"HARASSMENT,SUBD 1,CIVILIAN"
Violent,Assault,Simple Assault,HARRASSMENT 2,VIOLATION,"HARASSMENT,SUBD 3,4,5"
Property,Burglary,Residential Burglary,BURGLARY,FELONY,"BURGLARY,RESIDENCE,DAY"
Property,Burglary,Residential Burglary,BURGLARY,FELONY,"BURGLARY,RESIDENCE,NIGHT"
Property,Burglary,Residential Burglary,BURGLARY,FELONY,"BURGLARY,RESIDENCE,UNKNOWN TIM"
Property,Burglary,Non-Residential Burglary,BURGLARY,FELONY,"BURGLARY, TRUCK UNKNOWN TIME"
Property,Burglary,Non-Residential Burglary,BURGLARY,FELONY,"BURGLARY,TRUCK DAY"
Property,Burglary,Non-Residential Burglary,BURGLARY,FELONY,"BURGLARY,TRUCK NIGHT"
Property,Burglary,Non-Residential Burglary,BURGLARY,FELONY,"BURGLARY,COMMERCIAL,DAY"
Property,Burglary,Non-Residential Burglary,BURGLARY,FELONY,"BURGLARY,COMMERCIAL,NIGHT"
Property,Burglary,Non-Residential Burglary,BURGLARY,FELONY,"BURGLARY,COMMERCIAL,UNKNOWN TI"
Property,Burglary,Non-Residential Burglary,BURGLARY,FELONY,"BURGLARY,UNCLASSIFIED,DAY"
Property,Burglary,Unclassified,BURGLARY,FELONY,"BURGLARY,UNCLASSIFIED,NIGHT"
Property,Burglary,Unclassified,BURGLARY,FELONY,"BURGLARY,UNCLASSIFIED,UNKNOWN"
Property,Burglary,Unclassified,BURGLARY,FELONY,"BURGLARY,UNKNOWN TIME"
Property,Theft,Grand Larceny Auto,GRAND LARCENY OF MOTOR VEHICLE,FELONY,"LARCENY, GRAND OF AUTO - ATTEM"
Property,Theft,Grand Larceny Auto,GRAND LARCENY OF MOTOR VEHICLE,FELONY,"LARCENY, GRAND OF MOPED"
Property,Theft,Grand Larceny Auto,GRAND LARCENY OF MOTOR VEHICLE,FELONY,"LARCENY,GRAND OF AUTO"
Property,Theft,Grand Larceny Auto,GRAND LARCENY OF MOTOR VEHICLE,FELONY,"LARCENY,GRAND OF MOTORCYCLE"
Property,Theft,Grand Larceny Auto,GRAND LARCENY OF MOTOR VEHICLE,FELONY,"LARCENY,GRAND OF TRUCK"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND BY ACQUIRING LOS"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-TELLER"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND BY DISHONEST EMP"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND BY EXTORTION"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND BY OPEN BANK ACCT"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND BY THEFT OF CREDIT CARD"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND FROM EATERY, UNATTENDED"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND FROM NIGHT CLUB, UNATTENDED"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND FROM PERSON,PICK"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND FROM PERSON,PURS"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND FROM PERSON,UNCL"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND FROM PIER, UNATTENDED"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND FROM RETAIL STORE, UNATTENDED"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND FROM STORE-SHOPL"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND OF BICYCLE"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND OF BOAT"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES"
Property,Theft,Grand Larceny,GRAND LARCENY,FELONY,"LARCENY,GRAND PERSON,NECK CHAI"
Property,Theft,Theft from Auto,GRAND LARCENY,FELONY,"LARCENY,GRAND FROM TRUCK, UNATTENDED"
Property,Theft,Theft from Auto,GRAND LARCENY,FELONY,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE"
Property,Theft,Theft from Auto,GRAND LARCENY,FELONY,"LARCENY,GRAND FROM BOAT, UNATTENDED"
Property,Theft,Theft from Auto,PETIT LARCENY,MISDEMEANOR,"LARCENY,PETIT FROM AUTO"
Property,Theft,Theft from Auto,PETIT LARCENY,MISDEMEANOR,"LARCENY,PETIT FROM BOAT"
