category_1,category_2,category_3,crime_description
Violent,Homicide,Murder,Homicide/Murder-Nonnegligent Manslaughter
Violent,Homicide,Manslaughter,Homicide/Negligent Manslaughter
Violent,Rape,Rape,Sex Offense/Forcible Rape
Violent,Rape,Rape,Sex Offense/Forcible Sodomy
Violent,Robbery,Robbery,Robbery/From Business
Violent,Robbery,Robbery,Robbery/From Person
Violent,Assault,Aggravated Assault,Assault/Aggravated
Violent,Assault,Aggravated Assault,Assault/Other Weapon (Aggravated)
Violent,Assault,Aggravated Assault,Assault/Hands (Aggravated)
Violent,Assault,Simple Assault,Assault/Simple
Violent,Assault,Unclassified,Assault/Firearm
Violent,Assault,Unclassified,Assault/Intimidation-Communicating Threats
Violent,Assault,Unclassified,Assault/Knife
Property,Burglary,Residential Burglary,Burglary/Residential
Property,Burglary,Non-Residential Burglary,Burglary/Commercial or Non-Residential
Property,Theft,Grand Larceny Auto,Motor Vehicle Theft
Property,Theft,Theft from Auto,Larceny/Theft from Motor Vehicle
Property,Theft,Theft from Auto,Larceny/Theft of MV Parts-Accessories
Property,Theft,Other Theft,Larceny/All Other
Property,Theft,Other Theft,Larceny/Pocket-Picking
Property,Theft,Other Theft,Larceny/Purse-Snatching
Property,Theft,Other Theft,Larceny/Shoplifting
Property,Theft,Other Theft,Larceny/Theft from Building
Property,Theft,Other Theft,Larceny/Theft from Coin-Operated Machine
Property,Arson,Arson,Arson
Property,Other Property Crime,Other Property Crime,All Other/Damage to Property (minor)
Property,Other Property Crime,Other Property Crime,Stolen Property/Possess Stolen Vehicle (w/ Arrest)
Property,Other Property Crime,Other Property Crime,Stolen Property/Possess Stolen Vehicle (w/ Arrest) (STOLEN FROM OTHER JURISDICTION)
Property,Other Property Crime,Other Property Crime,Stolen Property/Possession (w/ Arrest)
Property,Other Property Crime,Other Property Crime,Stolen Property/Possession (w/ Arrest) (STOLEN FROM OTHER JURISDICTION)
Property,Other Property Crime,Other Property Crime,Stolen Property/Recover Stolen Property (no arrest)
Property,Other Property Crime,Other Property Crime,Stolen Property/Recover Stolen Property (no arrest) (STOLEN FROM OTHER JURISDICTION)
Property,Other Property Crime,Other Property Crime,Stolen Property/Recover Stolen Vehicle (no arrest)
Property,Other Property Crime,Other Property Crime,Stolen Property/Recover Stolen Vehicle (no arrest) (STOLEN FROM OTHER JURISDICTION)
Property,Other Property Crime,Other Property Crime,Damage to Property (Group A)
Property,Other Property Crime,Other Property Crime,DAMAGE TO PROPERTY/PRIVATE PROPERTY
Property,Other Property Crime,Other Property Crime,All Other/Trespassing
Drug,Drug,Drug,Drug Equipment/Paraphernalia
Drug,Drug,Drug,Drug Violation/Felony
Drug,Drug,Drug,Drug Violation/Misdemeanor
Drug,Drug,Drug,Drug Violation/Possession
Drug,Drug,Drug,Drug Violation/Sale or Manufacture
Drug,Drug,Drug,DRUGS/POSSESSION/OTHER DANGEROUS NONNARCOTIC DRUGS
Property,White Collar,Counterfeiting,Counterfeiting/Forgery
Property,White Collar,Fraud,Forgery/Prescription Fraud
Property,White Collar,Fraud,FRAUD/ALL OTHER
Property,White Collar,Fraud,FRAUD/ALL OTHER / IDENTITY THEFT
Property,White Collar,Fraud,FRAUD/CREDIT CARD FRAUD
Property,White Collar,Fraud,Fraud/Credit Card-ATM Fraud
Property,White Collar,Fraud,FRAUD/FALSE PRETENSE
Property,White Collar,Fraud,Fraud/False Pretense or Swindle
Property,White Collar,Fraud,Fraud/ID Theft
Property,White Collar,Fraud,Fraud/Impersonation of LEO
Property,White Collar,Fraud,Fraud/Rental Car Conversion
Property,White Collar,Fraud,Fraud/Welfare Fraud
Property,White Collar,Fraud,Fraud/Wire Fraud
Property,White Collar,Fraud,FRAUD/WORTHLESS CHECK
Property,White Collar,Fraud,Fraud/Worthless-Bad Checks
Property,White Collar,Embezzlement,Embezzlement
Property,White Collar,Embezzlement,EMBEZZLEMENT/ALL OTHER(LARCENY FROM EMPLOYER)
Gambling,Gambling,Gambling,Gambling/Betting-Wagering
Gambling,Gambling,Gambling,Gambling/Operating-Promotion-Assisting
Gambling,Gambling,Gambling,Gambling/Sports Tampering
