TITLE,SECTION,SUB,CLS,CAT,DEG,FULL LAW DESCRIPTION,UCR DESCRIPTION,UCR CODE,IBR CODE
ABC,,,,V,0,General Violation Of Alcohol Beverage Con Law,Liquor Law Violations,44,90G
ABC,,,A,M,0,General Violation Of Alcohol Beverage Con Law,Liquor Law Violations,44,90G
ABC,,,E,F,0,General Violation Of Alcohol Beverage Con Law,Liquor Law Violations,44,90G
ABC,,,U,M,0,General Violation Of Alcohol Beverage Con Law,Liquor Law Violations,44,90G
ABC,054,,U,M,0,Vio Beer Sale Consum Off Prems,Liquor Law Violations,44,90G
ABC,064-A,,A,M,0,Violation Special License Consumption On Premises,Liquor Law Violations,44,90G
ABC,064-B,,A,M,0,Unlicensed Bottle Club,Liquor Law Violations,44,90G
ABC,064-B,,U,M,0,Unlicensed Bottle Club,Liquor Law Violations,44,90G
ABC,065-A,,,V,0,Procure Alcohol For Person Less Than 21,Liquor Law Violations,44,90G
ABC,065-B,,,V,0,Person Less Than 21 Obtaining Alcohol-Fraud,Liquor Law Violations,44,90G
ABC,065-C,,,V,0,Unlawful Possession Alcohol Person Under 21,Liquor Law Violations,44,90G
ABC,100,01,U,M,0,Manufacture Off/Sell Alcohol Beverage Without License,Liquor Law Violations,44,90G
ABC,101-B,,U,M,0,False Statement On Wholesaler Schedule,Liquor Law Violations,44,90G
ABC,101-B,03H,U,M,0,False Statement On Wholesaler Schedule,Liquor Law Violations,44,90G
ABC,101-BBB,,A,M,0,Wine Sale Less Than Minimum Consumer Price,Liquor Law Violations,44,90G
ABC,105,14,A,M,0,After Hours Sale Of Alcohol Beverage,Liquor Law Violations,44,90G
ABC,106,01,A,M,0,On Premises License To Non-Owner,Liquor Law Violations,44,90G
ABC,106,02,A,M,0,Retail Licensee:Tax Stamp Violation,Liquor Law Violations,44,90G
ABC,106,03,A,M,0,On Premises License Violation,Liquor Law Violations,44,90G
ABC,106,04,A,M,0,Special On Premises License Violation,Liquor Law Violations,44,90G
ABC,106,04A,A,M,0,Beer Sale Without Brewer Name Displayed,Liquor Law Violations,44,90G
ABC,106,05,A,M,0,On Premises:off Hour/Day Sales Violation,Liquor Law Violations,44,90G
